winter,date_posix_ts,canton,community,starting_zone_Y,starting_zone_X,elevation,aspect_id,aspect_string,activity,victims,caught,buried,danger_level
2015/16,1467583200,VS,Baltschieder,631760,138570,3440,5,E,1,1,2,0,0
2015/16,1462399200,GR,Flims,737700,197340,2900,6,ESE,1,1,1,1,0
2015/16,1461880800,VS,Naters,640290,146390,3680,11,SW,1,1,2,1,2
2015/16,1461103200,GR,Sils im Engadin/Segl,781510,135430,2810,3,NE,1,1,1,1,3
2015/16,1461016800,VS,Orsières,570830,93228,3100,2,NNE,2,1,2,1,3
2015/16,1460844000,VS,Fieschertal,657295,151555,3340,16,NNW,1,1,6,3,2
2015/16,1459634400,GR,Arosa,767520,181220,2280,4,ENE,2,1,1,1,3
2015/16,1459116000,GL,Glarus Süd,733710,206730,2150,16,NNW,1,1,2,1,2
2015/16,1459033200,VS,Obergoms,669160,145896,2440,2,NNE,1,1,1,1,2
2015/16,1458946800,BE,Lenk,600590,138090,1940,16,NNW,1,1,1,0,1
2015/16,1457132400,GR,Safiental,742770,163910,2660,11,SW,1,2,2,2,3
2015/16,1456527600,SZ,Muotathal,698050,200300,1680,16,NNW,1,1,1,0,3
2015/16,1456009200,VS,Saas-Almagell,638250,100620,2860,6,ESE,2,1,6,1,2
2015/16,1454108400,GR,Davos,777980,171790,2770,3,NE,1,1,3,1,3
2015/16,1453590000,BE,Aeschi bei Spiez,625290,160575,2400,15,NW,1,1,3,1,2
2015/16,1452898800,VS,Saxon,582670,108265,2250,1,N,2,2,4,1,3
2015/16,1452294000,VS,Ried-Brig,647980,123600,2543,15,NW,1,2,3,3,3
2015/16,1445637600,GR,Poschiavo,794532,139453,3782,6,ESE,1,1,1,0,0
2014/15,1430863200,GR,Lumnezia,721530,165830,2630,3,NE,1,1,1,1,0
2014/15,1428789600,VS,Mont-Noble,605500,112390,2980,1,N,1,2,4,4,2
2014/15,1428098400,GR,Davos,783880,184490,2260,3,NE,2,1,1,1,3
2014/15,1427497200,UR,Wassen,680275,175850,2340,3,NE,1,1,2,2,2
2014/15,1427497200,VS,Bourg-Saint-Pierre,584900,82450,3500,13,W,1,1,1,0,2
2014/15,1427410800,VS,Evolène,602523,92680,3180,7,SE,1,1,6,2,2
2014/15,1425337200,GR,Samnaun,823610,206380,2550,1,N,2,1,1,1,3
2014/15,1424473200,VS,Bourg-Saint-Pierre,579580,79582,2500,1,N,1,4,5,4,2
2014/15,1423522800,GR,Val Müstair,817368,167506,2590,11,SW,1,1,1,1,3
2014/15,1423350000,VS,Staldenried,636815,119280,2320,1,N,1,1,1,1,3
2014/15,1422831600,GR,Disentis / Mustér,703820,172900,1970,3,NE,2,1,1,1,3
2014/15,1422658800,GR,Seewis im Prättigau,764710,209140,2340,5,E,1,5,8,7,3
2014/15,1422658800,SG,Wildhaus-Alt St. Johann,741408,224215,2250,13,W,2,1,1,0,3
2014/15,1422658800,BE,Adelboden,605567,143973,1980,15,NW,2,1,1,1,3
2014/15,1422658800,BE,Lauterbrunnen,631452,156214,2380,5,E,2,1,1,1,3
2014/15,1422572400,BE,Adelboden,604732,144872,1875,5,E,2,1,1,1,3
2014/15,1422486000,SG,Amden,733105,225687,1550,7,SE,1,1,1,1,3
2014/15,1422486000,VS,Riddes,586075,106360,2380,1,N,2,1,5,1,3
2014/15,1421535600,GR,St. Moritz,780400,153175,2950,7,SE,2,1,3,2,3
2014/15,1420498800,GR,Bivio,774050,153500,3050,9,S,1,1,1,1,3
2014/15,1420326000,GR,Valsot,813430,199240,2730,6,ESE,1,1,2,2,3
2014/15,1420326000,VS,Anniviers,613725,120985,2513,15,NW,2,1,1,1,3
2014/15,1419030000,SG,Mels,748276,202734,2820,5,E,1,1,1,1,3
2014/15,1417993200,VS,Simplon,642750,116430,3170,7,SE,1,1,4,0,2
2014/15,1416438000,NW,Emmetten,684266,198406,1850,15,NW,1,1,1,0,0
2013/14,1407103200,VS,Zermatt,615001,96954,3690,9,S,1,1,1,0,0
2013/14,1405720800,VS,Anniviers,611330,102467,3460,1,N,1,2,6,4,0
2013/14,1405720800,VS,Zermatt,619865,100645,3760,9,S,1,2,2,1,0
2013/14,1395010800,VS,Täsch,621234,100900,3570,3,NE,2,2,3,2,1
2013/14,1392678000,VS,Anniviers,611792,109503,2785,2,NNE,2,1,1,1,3
2013/14,1392591600,VS,Nendaz,590373,106777,2210,3,NE,2,1,1,1,3
2013/14,1391900400,VS,Martigny Combe,568490,99600,2330,2,NNE,1,1,6,2,3
2013/14,1388876400,VS,Mont-Noble,604100,115000,2680,14,WNW,1,4,6,4,3
2013/14,1388876400,VS,Nendaz,587572,112484,2025,16,NNW,2,1,1,0,3
2013/14,1388358000,VS,Evolène,603574,94403,2390,2,NNE,1,1,1,1,3
2013/14,1388358000,VS,Orsières,572320,95559,2640,1,N,1,1,1,1,3
